actor_name,actor_slug
Тжиеп Сопитнапа Чумпани,tzhiep-sopitnapa-chumpani
У Юй Хэн,u-iui-khen
Со Ин Гук,so-in-guk
Вин Метавин Опатйемкатчон,vin-metavin-opatiemkatchon
Чэнь Шу,chen-shu
У Цянь,u-tsian
Сунь И Чжоу,sun-i-chzhou
Чо Джун Ён,cho-dzhun-ion
Ким До Хун,kim-do-khun
Чжи Иль Чжу,chzhi-il-chzhu
Кан Юль,kan-iul
Брайт Рапипон Тапсуван,brait-rapipon-tapsuvan
Чжан Яо,chzhan-iao
Хань Дун Цзюнь,khan-dun-tsziun
Ли Сан Хи,li-san-khi
Ким Соль Хён,kim-sol-khion
Цзо Сяо Цин,tszo-siao-tsin
Би Вэнь Цзюнь,bi-ven-tsziun
Чжао Яо Кэ,chzhao-iao-ke
Фудзики Наохито,fudziki-naokhito
Ли Ю Би,li-iu-bi
Мураи Рёта,murai-riota
Бай Цзин Тин,bai-tszin-tin
Чон Хе Сон,chon-khe-son
Джеки Чан,dzheki-chan
Ха Джун,kha-dzhun
Чжэн Фань Син,chzhen-fan-sin
Чжоу Да Вэй,chzhou-da-vei
Пак Сон Хо,pak-son-kho
Ли Пиль Мо,li-pil-mo
Сяо Кай Чжун,siao-kai-chzhun
Вик Чоу,vik-chou
Чэнь Цзин Кэ,chen-tszin-ke
Рю Сын Рён,riu-syn-rion
Го Юн Чжон,go-iun-chzhon
Цай Хэн,tsai-khen
Ван И Но,van-i-no
Чжан Синь Тун,chzhan-sin-tun
Им Сон Гюн,im-son-giun
Син Го Ын,sin-go-yn
Сон Хе Гё,son-khe-gio
Гуань Хун,guan-khun
Хуан Цзюнь Цзе,khuan-tsziun-tsze
Мун Чхэ Вон,mun-chkhe-von
У Мин Цзин,u-min-tszin
Тэу Натапон Тэмирак,teu-natapon-temirak
Юн Сан Хён,iun-san-khion
Вилл Ваннарот Сонтичай,vill-vannarot-sontichai
Ким Мён Су,kim-mion-su
Ши Ши,shi-shi
Вэй Чжэ Мин,vei-chzhe-min
Ким Ки Бан,kim-ki-ban
Дай Сы,dai-sy
Хоу Пэй Шань,khou-pei-shan
Пак Пён Ын,pak-pion-yn
Фан И Лунь,fan-i-lun
Тайра Юна,taira-iuna
Вэнь Синь,ven-sin
Цзо Е,tszo-e
Хо Сон Тхэ,kho-son-tkhe
Ли На Ён,li-na-ion
Дэн Цзин Хун,den-tszin-khun
Тун Яо,tun-iao
Ясуда Кэн,iasuda-ken
Синохара Рёко,sinokhara-rioko
Он Джу Ван,on-dzhu-van
Вон Джин А,von-dzhin-a
Барри Надет Кугимия,barri-nadet-kugimiia
Юн Бо Ра,iun-bo-ra
Чон Чхэ Ён,chon-chkhe-ion
Ли Сон Гён,li-son-gion
Ёситака Юрико,iositaka-iuriko
Ким Мин Джу,kim-min-dzhu
Рэйн,rein
Август Вачиравит Пайсанкунвон,avgust-vachiravit-paisankunvon
Чэнь Яо,chen-iao
Синь Юнь Лай,sin-iun-lai
Чхве Ён Джун,chkhve-ion-dzhun
Бона,bona
Ким Сын Су,kim-syn-su
Найто Сюитиро,naito-siuitiro
Сим Ын Гён,sim-yn-gion
Сон Сын Хон,son-syn-khon
Хён У Сон,khion-u-son
Лю Яо Юань,liu-iao-iuan
Син Чжао Линь,sin-chzhao-lin
Маркус Чан,markus-chan
Киф Сиринат Сукантарат,kif-sirinat-sukantarat
Джеймс Супамонкон Вонвисут,dzheims-supamonkon-vonvisut
Ян Цзы,ian-tszy
Чон Сан Хун,chon-san-khun
Сон Сын Ха,son-syn-kha
Чон Хё Сон,chon-khio-son
Бай Шу,bai-shu
Ван Ю Цзюнь,van-iu-tsziun
Ю Ин Су,iu-in-su
Пэк Чжин Хи,pek-chzhin-khi
Сигэока Дайки,sigeoka-daiki
Лю Линь,liu-lin
Чиу Ши Лунь,chiu-shi-lun
Юй Хао Мин,iui-khao-min
Джо Чэнь,dzho-chenb
Ко Васин Асванарунат,ko-vasin-asvanarunat
Ли Тай,li-tai
Ван Цзы Вэй,van-tszy-vei
Приккин Суриярет Якарет,prikkin-suriiaret-iakaret
Нана,nana
Джеймс Ма,dzheims-ma
Цай Цзюнь Жу,tsai-tsziun-zhu
Цао Цзюнь Сян,tsao-tsziun-sian
Чхве Юн Ён,chkhve-iun-ion
Ян И Мо,ian-i-mo
Ван Сюй Чжу,van-siui-chzhu
Юй Цзи Вэй,iui-tszi-vei
Пак Хэ Джун,pak-khe-dzhun
Пак Хён Сик,pak-khion-sik
Чжан Сюэ Ин,chzhan-siue-in
Хотта Аканэ,khotta-akane
О Кван Рок,o-kvan-rok
Чхве Йе На,chkhve-ie-na
Ли Джэ Ук,li-dzhe-uk
Нет Сирапхоп Манитикхун,net-sirapkhop-manitikkhun
У Хао Цзэ,u-khao-tsze
Нам Ки Э,nam-ki-e
Ван И Чжэ,van-i-chzhe
Кубота Саю,kubota-saiu
Пэк Джи Вон,pek-dzhi-von
Чха Ын У,chkha-yn-u
Ма Сы Чао,ma-sy-chao
Хан Ки Ун,khan-ki-un
Не Юань,ne-iuan
Ван Янь Линь,van-ian-lin
Хуан Синь Чунь,khuan-sin-chun
Ли Вон Чжон,li-von-chzhon
Ван Цзы И,van-tszy-i
Ни Хун Цзе,ni-khun-tsze
Чан Хёк Джин,chan-khiok-dzhin
Чэнь Кунь,chen-kun
Джерри Ян,dzherri-ian
Вэнь Ци,ven-tsi
Мацуока Масахиро,matsuoka-masakhiro
Хан Сын Ён,khan-syn-ion
Ким Су Гём,kim-su-giom
Фурукава Юки,furukava-iuki
Ван Лу Цин,van-lu-tsin
Бай Бин Кэ,bai-bin-ke
Ван Чжэнь,van-chzhen
Юй Ши,iui-shi
Лань Чэн Лун,lan-chen-lun
Чан Сын Джо,chan-syn-dzho
Сомэтани Сёта,sometani-siota
Хан Хе Рин,khan-khe-rin
Чэн Цзы,chen-tszy
Ли Кю Хён,li-kiu-khion
Ан Со Хи,an-so-khi
Кан Ки Ён,kan-ki-ion
Янь Цзы Сянь,ian-tszy-sian
Ци Янь Ди,tsi-ian-di
Дун Чжи И,dun-chzhi-i
Ван Гуань И,van-guan-i
Чжан И Син,chzhan-i-sin
Чжу Чжон Хёк,chzhu-chzhon-khiok
Цзин Тянь,tszin-tian
Томита Кэнтаро,tomita-kentaro
Ким Су Ро,kim-su-ro
Чэнь Сяо,chen-siao
Ямасита Томохиса,iamasita-tomokhisa
Ли Чо Хи,li-cho-khi
Чон Ю Мин,chon-iu-min
Хан Хе Чжин,khan-khe-chzhin
Ким Джэ Ён,kim-dzhe-ion
Кудо Асука,kudo-asuka
Ким Чон Ын,kim-chon-yn
Кен Тирадет Вонпуапан,ken-tiradet-vonpuapan
Кавагути Харуна,kavaguti-kharuna
Чэнь Ю Вэй,chen-iu-vei
Ван Дон,van-don
Лю Юй Хань,liu-iui-khan
О Мин Сок,o-min-sok
Чэнь Му Чи,chen-mu-chi
Чжан Чжи Хао,chzhan-chzhi-khao
Чжан И Шан,chzhan-i-shan
Юро Йотсават Тавапи,iuro-iotsavat-tavapi
Чжин И Хан,chzhin-i-khan
Ли Бом Су,li-bom-su
Лу Дун Сюй,lu-dun-siui
Ли Хак Чжу,li-khak-chzhu
Су Мэн Ди,su-men-di
Кан Тэ О,kan-te-o
Ли Фэй,li-fei
Сюн Цзы Ци,siun-tszy-tsi
Фань Вэй,fan-vei
Чжан Цзюнь Нин,chzhan-tsziun-nin
Ан У Ён,an-u-ion
Чжао И Хуан,chzhao-i-khuan
Сон Ё Ын,son-io-yn
Кун Сюэ Эр,kun-siue-er
Иноуэ Юки,inoue-iuki
Цзян Пэй Яо,tszian-pei-iao
Ли Чхэ Ён,li-chkhe-ion
Сун Янь Фэй,sun-ian-fei
Чон Вон Чхан,chon-von-chkhan
Хон Чжон Хён,khon-chzhon-khion
Сайто Такуми,saito-takumi
Май Давика Хонэ,mai-davika-khone
Чжун Ци,chzhun-tsi
Чжу И Лун,chzhu-i-lun
Ли Мун Сик,li-mun-sik
Им Су Хян,im-su-khian
Идзуми Рика,idzumi-rika
