"name","poster_dorama_src","country","release_year","genre","duration_minutes","duration_episodes","status","translate","actors","desc","slug"
"Навстречу опасности","wp-content\uploads\2021\06\navstrechu-opasnosti.jpg","Китай","2019","Боевик","45 мин","4","Выходит","Дораманутая","Ван Жунь Цзэ,Вань Пэн,Вэй Чжэ Мин,Ма Синь Мо,Хоу Пэй Шань,Чжан Хэ","Сюжет дорамы «Навстречу опасности» разворачивается вокруг трёх молодых людей. Все они — парамедики, которые теперь работают с вертолетной спасательной командой. Совершенно новая обстановка поначалу будет сбивать с толку, однако вскоре герои привыкнут к этому. Сейчас под угрозой находятся не только жизни тех, к кому они прибыли на помощь, но и их собственные, ведь спасательные операции проводят в самых разных, далеко не всегда благоприятных условиях. Как герои будут спасать жизни, невзирая на обстоятельства, узнаем, посмотрев дораму.","navstrechu-opasnosti"
"Слава спецназа","wp-content\uploads\2022\04\slava-specnaza.jpg","Китай","2022","Боевик","40 мин","45","Выходит","Дораманутая","Гао Синь,Ли И Тун,Ян Ян","Следуя по стопам отца, молодой человек Ян По Юэ поступает в военную академию. Он обладает хорошими физическими данными, замечательной подготовкой и думает, что без труда попадет в элитную группу.","slava-spetsnaza"
"Пьета","wp-content\uploads\2023\01\peta.jpg","Китай","2049","Боевик","1 час 45 мин","77","Выходит","Колобок","Квон Юль,Ли Чон Джин","Главный герой Ли Ган До жесток и беспощаден. Он зарабатывает на жизнь тем, что выколачивает деньги у должников ростовщика. И делает это весьма сурово, калеча и унижая людей, чтобы в будущем они могли оформить страховку, которую и берут в качестве основной платы.","peta"
"Охотничьи псы","wp-content\uploads\2023\06\oxotnichi-psy.jpg","Южная Корея","2023","Боевик, Боевые искусства, Драма","1 час","8","Выходит","SoftBox","Ли Сан И,Пак Сон Ун,У До Хван,Хо Джун Хо,Чхве Ён Джун,Чхве Ши Вон","В центре внимания два парня-боксера, которые из-за долгов семьи вынуждены были спешно решать сложные задачи.","okhotnichi-psy"
"Козырные войска","wp-content\uploads\2021\12\kozyrnye-vojska.jpg","Китай","2021","Боевик, Военный","45 мин","4","Выходит","Дораманутая","Бай Лу,Сяо Чжань,Хуан Цзин Юй,Чжун Чу Си","Дорама «Войска особого назначения» окунет Вас в самые тяжелые, душетрепещущие времена. Когда судьба каждого находилась на волоске от смерти, когда от принятого решения зависело всё! Китай… 1983 год…","kozyrnye-voiska"
"Обязанности после школы","wp-content\uploads\2023\03\obyazannosti-posle-shkoly.jpg","Южная Корея","2023","Боевик, Военный, Драма, Триллер, Фантастика","1 час 14 мин","1","Выходит","SoftBox","Ан До Гю,Квон Ын Бин,Ким Ки Хэ,Ким Мин Чхоль,Ким Су Гём,Мун Сан Мин,Пак Чжон Ён,Син Мён Сон,Син Хён Су,Сон Джи Ру,Чжи Мин Хёк,Юн Чон Бин","По всему миру появились неопознанные летающие шары, которые зависли в небе и долгое время ничего не происходило. Так продолжалось до тех пор, пока в Корее один из таких шаров не упал на Землю. В этот момент спокойная и благополучная жизнь закончилась, ведь повсюду появились странные существа в виде какой-то слизи нападающей на людей.","obiazannosti-posle-shkoly"
"Я так долго тебя ждал","wp-content\uploads\2023\08\ya-tak-dolgo-tebya-zhdal.jpg","Южная Корея","2023","Боевик, Детектив, Драма, Триллер","1 час 9 мин","14","Выходит","SoftBox","Ким Джи Ын,Ким Хи Чон,На Ин У,Пэ Чон Ок,Сон Сын Ха,Хён У Сон,Чхве Мин Ги","В городе Уджин обычно тихо и спокойно, о чем часто говорит детектив О Джин Сон. Но однажды его любимый младший брат становится главным подозреваемым в убийстве, и с того момента детектив оказывается втянут в череду различных странных происшествий. Вскоре наружу всплывают страшные тайны, и теперь героем движет только месть…","ia-tak-dolgo-tebia-zhdal"
"Захват больницы","wp-content\uploads\2023\09\zaxvat-bolnicy.jpg","Япония","2023","Боевик, Детектив, Драма, Триллер","45 мин","1","Выходит","SoftBox","Асакава Нана,Кикути Фума,Кобаяси Рёко,Омидзу Ёсукэ,Ошинари Шуго,Сакурай Шо,Сирасу Джин,Соним,Хига Манами,Хираяма Хироюки","Главную больницу Кайсэйдо неожиданно захватывает группа людей в масках дьявола. Всех, кто находился внутри, берут в заложники. Перед детективом в отставке Сабуро, находящимся в этот момент в больнице, предстает сложная задача: выполнить условия захватчиков и спасти людей, ведь среди заложников его жена, которая продолжает проводить операцию даже под дулом пистолета.","zakhvat-bolnitsy"
"Истинный грех","wp-content\uploads\2018\12\istinnyj-grex.jpg","Китай","2018","Боевик, Детектив, Криминал","50 мин.","24","Выходит","DubLik-TV","Бай Бин,Инь Чжэн,Чжай Тянь Линь","Главный герой дорамы «Истинный грех» Чи Чжэн, адвокат, который не останавливается перед давлением сильных мира сего, чем порядком надоел как полиции так и влиятельным людям. Однажды молодой полицейский Лу Ли обвиняет его в нарушении закона и Чи Чжэна, лишив адвокатской лицензии, сажают в тюрьму. Спустя четыре года Ли Лу сделал успешную карьеру и стал начальником полиции, а бывший адвокат выйдя из тюрьмы, стал весьма успешным бизнесменом. Судьба снова сводит их вместе, чтобы дать шанс разобраться со старыми обидами и наказать настоящих преступников.","istinnyi-grekh"
"Уголовное преследование","wp-content\uploads\2021\10\ugolovnoe-presledovanie.jpg","Китай","2021","Боевик, Детектив, Криминал","42 мин","28","Выходит","Дораманутая","Лю И Цзюнь,У Сяо Лян,Цзян Шу Ин,Чжан И Син","Сюжет дорамы «Уголовное преследование» разворачивается вокруг честного полицейского по имени Ли Чэньян. Однажды он сталкивается с начальством в лице начальника службы безопасности, который пытается помешать ему раскрыть дело. Вскоре его и вовсе подставляют, и герой отправляется в тюрьму. Через какое-то время он выходит, горящий желанием уничтожить преступные группировки, орудующие в городе, и наказать коррумпированных чиновников, находящихся у власти.","ugolovnoe-presledovanie"
